name,country,flag
3T Cycling,Italy,IT
A-bike,UK,GB
Abici,Italy,IT
Adler,Germany,DE
AIST,Belarus,BY
ALAN,Italy,IT
Al Carter,UK,GB
Alcyon,France,FR
Alldays & Onions,UK,GB
American Bicycle Company,USA,US
American Bicycle Group,USA,US
American Eagle,USA,US
American Machine and Foundry,USA,US
American Star Bicycle,USA,US
Aprilia,Italy,IT
Alexander Leutner & Co.,Russia,RU
Argon 18,Canada,CA
Ariel,UK,GB
Atala,Italy,IT
Author,Czech Republic,CZ
Avanti,New Zealand,NZ
Baltik vairas,Lithuania,LT
Bacchetta,USA,US
Basso_Bikes,Italy,IT
Batavus,The Netherlands,NL
Battaglin,Italy,IT
Berlin & Racycle Manufacturing Company,Canada,CA
BH,Spain,ES
Bianchi,Italy,IT
Bickerton,UK,GB
Bike Friday,USA,US
Bilenky,USA,US
Biomega,Denmark,DK
Birdy,Germany,DE
BMC,Switzerland,CH
Boardman Bikes,UK,GB
Bohemian Bicycles,USA,US
Bontrager,USA,US
Bootie,UK,GB
Bottecchia,Italy,IT
Bradbury,UK,GB
Brasil & Movimento,Brazil,BR
Brennabor,Germany,DE
Bridgestone,Japan,JP
British Eagle,UK,GB
Brodie Bicycles,Canada,CA
Brompton Bicycle,UK,GB
Brunswick,USA,US
BSA,UK,GB
B'Twin,France,FR
Burley Design,USA,US
Calcott Brothers,UK,GB
Calfee Design,USA,US
Caloi,Brazil,BR
Campion Cycle Company,UK,GB
Cannondale,USA ,US
Canyon,Germany,DE
Catrike,USA,US
CCM,Canada,CA
Centurion,Germany,DE
Cervélo,Canada,CA
Chater-Lea,UK,GB
Chicago Bicycle Company,USA,US
Cilo,Switzerland,CH
Cinelli,Italy,IT
Citizen Bike,USA,US
Clark-Kent,USA,US
Claud Butler,UK,GB
Clément,France,FR
Co-Motion Cycles,USA,US
Coker,USA,US
Colnago,Italy,IT
Columbia Bicycles,USA,US
Corima,France,FR
Cortina Cycles,USA,US
Coventry-Eagl,UK,GB
Cruzbike,USA,US
Cube,Germany,DE
Currys,UK,GB
Cycle Force Group,USA,US
